,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,41,2,2,1102,2,1,2,1,1,1,2,0,94,3,2,7,4,2,5993,19479,8,0,1,11,3,1,80,0,8,0,1,6,4,0,5
1,49,1,1,279,1,8,1,1,1,2,3,1,61,2,2,6,2,1,5130,24907,1,0,0,23,4,4,80,1,10,3,3,10,7,1,7
2,37,2,2,1373,1,2,2,4,1,4,4,1,92,2,1,2,3,2,2090,2396,6,0,1,15,3,2,80,0,7,3,3,0,0,0,0
3,33,1,1,1392,1,3,4,1,1,5,4,0,56,3,1,6,3,1,2909,23159,1,0,1,11,3,3,80,0,8,3,3,8,7,3,0
4,27,1,2,591,1,2,1,3,1,7,1,1,40,3,1,2,2,1,3468,16632,9,0,0,12,3,4,80,1,6,3,3,2,2,2,2
5,32,1,1,1005,1,2,2,1,1,8,4,1,79,3,1,2,4,2,3068,11864,0,0,0,13,3,3,80,0,8,2,2,7,7,3,6
6,59,1,2,1324,1,3,3,3,1,10,3,0,81,4,1,2,1,1,2670,9964,4,0,1,20,4,1,80,3,12,3,2,1,0,0,0
7,30,1,2,1358,1,24,1,1,1,11,4,1,67,3,1,2,3,0,2693,13335,1,0,0,22,4,2,80,1,1,2,3,1,0,0,0
8,38,1,1,216,1,23,3,1,1,12,4,1,44,2,3,4,3,2,9526,8787,0,0,0,21,4,2,80,0,10,2,3,9,7,1,8
9,36,1,2,1299,1,27,3,3,1,13,3,1,94,3,2,0,3,1,5237,16577,6,0,0,13,3,2,80,2,17,3,2,7,7,7,7
10,35,1,2,809,1,16,3,3,1,14,1,1,84,4,1,2,2,1,2426,16479,0,0,0,13,3,3,80,1,6,5,3,5,4,0,3
11,29,1,2,153,1,15,2,1,1,15,4,0,49,2,2,2,3,2,4193,12682,0,0,1,12,3,4,80,0,10,3,3,9,5,0,8
12,31,1,2,670,1,26,1,1,1,16,1,1,31,3,1,6,3,0,2911,15170,1,0,0,17,3,4,80,1,5,1,2,5,2,4,3
13,34,1,2,1346,1,19,2,3,1,18,2,1,93,3,1,2,4,0,2661,8758,0,0,0,11,3,3,80,1,3,2,3,2,2,1,2
14,28,2,2,103,1,24,3,1,1,19,3,1,50,2,1,2,3,2,2028,12947,5,0,1,14,3,2,80,0,6,4,3,4,2,0,3
15,29,1,2,1389,1,21,4,1,1,20,2,0,51,4,3,4,1,0,9980,10195,1,0,0,11,3,3,80,1,10,1,3,10,9,8,8
16,32,1,2,334,1,5,2,1,1,21,1,1,80,4,1,6,2,0,3298,15053,0,0,1,12,3,4,80,2,7,5,2,6,2,0,5
17,22,1,0,1123,1,16,2,3,1,22,4,1,96,4,1,2,4,0,2935,7324,1,0,1,13,3,2,80,2,1,2,2,1,0,0,0
18,53,1,2,1219,2,2,4,1,1,23,1,0,78,2,4,3,4,1,15427,22021,2,0,0,16,3,3,80,0,31,3,3,25,8,3,7
19,38,1,2,371,1,2,3,1,1,24,4,1,45,3,1,6,4,2,3944,4306,5,0,1,11,3,3,80,0,6,3,3,3,2,1,2
20,24,1,0,673,1,11,2,4,1,26,1,0,96,4,2,4,3,0,4011,8232,0,0,0,18,3,4,80,1,5,5,2,4,2,1,3
21,36,2,2,1218,2,9,4,1,1,27,3,1,82,2,1,8,1,2,3407,6986,7,0,0,23,4,2,80,0,10,4,3,5,3,0,3
22,34,1,2,419,1,7,4,1,1,28,1,0,53,3,3,5,2,2,11994,21293,0,0,0,11,3,3,80,0,13,4,3,12,6,2,11
23,21,1,2,391,1,15,2,1,1,30,3,1,96,3,1,6,4,2,1232,19281,1,0,0,14,3,4,80,0,0,6,3,0,0,0,0
24,34,2,2,699,1,6,1,3,1,31,2,1,83,3,1,6,1,2,2960,17102,2,0,0,11,3,3,80,0,8,2,3,4,2,1,3
